о	7611808	0.11046
е	5800241	0.08417
а	5414844	0.07858
и	4946735	0.07179
н	4515578	0.06553
т	4291059	0.06227
с	3727256	0.05409
л	3218106	0.04670
р	3137485	0.04553
в	3027320	0.04393
к	2354126	0.03416
м	2251790	0.03268
д	2123356	0.03081
п	1889886	0.02743
у	1870319	0.02714
я	1434495	0.02082
ы	1351976	0.01962
ь	1270917	0.01844
г	1245147	0.01807
б	1179185	0.01711
з	1153798	0.01674
ч	998129	0.01448
й	798015	0.01158
х	676560	0.00982
ж	671955	0.00975
ш	539136	0.00782
ю	428396	0.00622
ц	276155	0.00401
э	250267	0.00363
щ	249591	0.00362
ф	150009	0.00218
ё	36097	0.00052
ъ	20311	0.00029
